name	rating	user_ratings_total	types	address	latitude	longitude
원미면옥	4	1685	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 비룡동 557	36.331877	127.475409
절골식당	4.3	54	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 신하동 12	36.3700812	127.5072624
진고개식당	4.1	31	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 신하동 산 14-16	36.3654678	127.5037298
비꽃 도토리	4.4	25	"['restaurant', 'food', 'point_of_interest', 'establishment']"	충북 옥천군 군북면 증약리 414-8	36.3630907	127.5270162
세거리청기와식당	4.5	15	"['restaurant', 'food', 'point_of_interest', 'establishment']"	충북 옥천군 군북면 대정리 664-1	36.382184	127.5374522
꽃피는산골	3.7	11	"['restaurant', 'food', 'point_of_interest', 'establishment']"	충북 옥천군 군북면 대정리 664-2	36.3818332	127.5378477
와정회집	5	1	"['restaurant', 'food', 'point_of_interest', 'establishment']"	충북 옥천군 군북면 대정리 768-1	36.3905596	127.5312896
국빈	3.8	4	"['restaurant', 'food', 'point_of_interest', 'establishment']"	충북 옥천군 군북면 증약리 310-1	36.352685	127.5260996
흥부네	5	2	"['restaurant', 'food', 'point_of_interest', 'establishment']"	충북 옥천군 군북면 대정리 659-7	36.3827075	127.5411495
신세계백화점 대전신세계아트앤사이언스	4.5	3219	"['department_store', 'point_of_interest', 'store', 'establishment']"	대전 유성구 도룡동 3-1	36.3751677	127.3819045
메종 갤러리아 대전	4.8	43	"['department_store', 'point_of_interest', 'store', 'establishment']"	대전 유성구 도룡동 397-1	36.3842253	127.3788806
킨록앤더슨 갤러리아 타임월드점	5	1	"['department_store', 'clothing_store', 'point_of_interest', 'store', 'establishment']"	대전 서구 둔산동 1036	36.352308	127.3785493
갤러리아백화점 타임월드점	4.2	3874	"['department_store', 'point_of_interest', 'store', 'establishment']"	대전 서구 둔산동 1036	36.3519375	127.3781875
아자마트	4	18	"['department_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"	대전 유성구 관평동 1206	36.422047	127.3938815
롯데백화점 대전점	4	4520	"['department_store', 'store', 'point_of_interest', 'establishment']"	대전 서구 괴정동 423-1	36.3406287	127.3895615
바이노블 대전점	5	2	"['department_store', 'store', 'point_of_interest', 'establishment']"	대전 서구 둔산동 1423	36.3492852	127.3870962
미미우 롯데백화점 대전	4.2	5	"['department_store', 'store', 'point_of_interest', 'establishment']"	대전 서구 괴정동 423-1	36.340733	127.389494
알레르망 롯데대전점	4	1	"['department_store', 'store', 'point_of_interest', 'establishment']"	대전 서구 괴정동 423-1	36.3406603	127.3895254
화인상품권	5	2	"['department_store', 'point_of_interest', 'store', 'establishment']"	대전 중구 태평동 554	36.322594	127.39686
NC 중앙로역점	3.9	1764	"['department_store', 'point_of_interest', 'store', 'establishment']"	대전 중구 선화동 3-1	36.3288943	127.4250324
